Page Name,Score,Datapoints,Properties Score,Properties Checked,Incoming Score,Incoming Checked
Abraham_Lincoln,84,182,57,15,87,167
Andrew_Jackson,80,156,36,14,85,142
Andrew_Johnson,90,131,76,17,93,114
Barack_Obama,99,2020,64,14,99,2006
Benjamin_Harrison,93,147,61,18,98,129
Bill_Clinton,97,1091,42,13,98,1078
Calvin_Coolidge,96,217,71,12,97,205
Chester_A._Arthur,91,125,47,15,97,110
Donald_Trump,98,2392,33,23,98,2369
Dwight_D._Eisenhower,97,535,68,14,98,521
Franklin_D._Roosevelt,96,536,53,19,98,517
Franklin_Pierce,96,100,82,11,97,89
George_H._W._Bush,97,608,61,18,98,590
George_W._Bush,99,1571,62,13,99,1558
George_Washington,81,166,67,12,82,154
Gerald_Ford,96,415,56,17,98,398
Grover_Cleveland,94,263,56,18,97,245
Harry_S._Truman,98,479,83,12,98,467
Herbert_Hoover,95,166,59,11,97,155
James_A._Garfield,89,85,70,15,93,70
James_Buchanan,88,108,68,11,90,97
James_K._Polk,90,101,65,10,93,91
James_Madison,91,122,0,0,91,122
James_Monroe,83,118,62,12,85,106
Jimmy_Carter,96,565,52,20,98,545
Joe_Biden,99,1391,50,16,99,1375
John_Adams,81,79,50,18,90,61
John_F._Kennedy,95,386,65,17,96,369
John_Quincy_Adams,78,101,57,22,84,79
John_Tyler,88,127,68,25,93,102
Lyndon_B._Johnson,97,499,71,14,98,485
Martin_Van_Buren,88,95,85,13,89,82
Millard_Fillmore,86,100,50,14,92,86
Presidency_of_Abraham_Lincoln,0,1,0,0,0,1
Presidency_of_George_W._Bush,25,4,0,0,25,4
President_of_the_United_States,66,95,0,0,66,95
Richard_Nixon,97,659,53,16,98,643
Ronald_Reagan,93,965,36,18,94,947
Rutherford_B._Hayes,94,146,64,14,97,132
Theodore_Roosevelt,92,270,68,17,94,253
Thomas_Jefferson,79,148,80,15,79,133
Ulysses_S._Grant,95,244,70,15,96,229
Warren_G._Harding,93,143,45,10,97,133
William_Henry_Harrison,84,80,77,11,85,69
William_Howard_Taft,92,204,65,17,95,187
William_McKinley,94,195,68,11,96,184
Woodrow_Wilson,96,255,80,15,97,240
Zachary_Taylor,89,93,38,13,98,80
